Resource allocation for audio and video streaming over the Internet.,2000,https://doi.org/10.1109/ISCAS.2000.858678,ISCAS
Automatic extraction of moving objects using multiple features and multiple frames.,2000,https://doi.org/10.1109/ISCAS.2000.857020,ISCAS
Adaptive QOS control for MPEG-4 video communication over wireless channels.,2000,https://doi.org/10.1109/ISCAS.2000.857023,ISCAS
Object-based multiresolution watermarking of images and video.,2000,https://doi.org/10.1109/ISCAS.2000.857065,ISCAS
Arbitrarily shaped video object coding by wavelet.,2000,https://doi.org/10.1109/ISCAS.2000.856115,ISCAS
Scalable video transport over wireless IP networks.,2000,https://doi.org/10.1109/PIMRC.2000.881607,PIMRC
Rendering of 3D-wavelet-compressed concentric mosaic scenery with progressive inverse wavelet synthesis (PIWS).,2000,https://dblp.org/rec/conf/vcip/WuLLZ00.html,VCIP
Video transcoding for multiple clients.,2000,https://dblp.org/rec/conf/vcip/YounXSZ00.html,VCIP
Three-dimensional shape-adaptive discrete wavelet transforms for efficient object-based video coding.,2000,https://dblp.org/rec/conf/vcip/XuLZ00.html,VCIP
User- and content-aware object-based video streaming over the Internet.,2000,https://dblp.org/rec/conf/vcip/ShaoZZ00.html,VCIP
Resource allocation with adaptive QoS for multimedia transmission over W-CDMA channels.,2000,https://doi.org/10.1109/WCNC.2000.904623,WCNC
Robust video coding algorithms and systems.,1999,https://doi.org/10.1109/5.790633,Proc. IEEE
Rate-distortion based optimization for zerotree entropy wavelet coding.,1999,https://doi.org/10.1109/30.793559,IEEE Trans. Consumer Electron.
Scalable wavelet coding for synthetic/natural hybrid images.,1999,https://doi.org/10.1109/76.752092,IEEE Trans. Circuits Syst. Video Technol.
Multiresolution watermarking for images and video.,1999,https://doi.org/10.1109/76.767121,IEEE Trans. Circuits Syst. Video Technol.
A comparative study of DCT- and wavelet-based image coding.,1999,https://doi.org/10.1109/76.780358,IEEE Trans. Circuits Syst. Video Technol.
An End-To-End Architecture for Mpeg-4 Video Streaming over the Internet.,1999,https://doi.org/10.1109/ICIP.1999.821608,ICIP (1)
MPEG4 compressed video over the Internet.,1999,https://doi.org/10.1109/ISCAS.1999.780008,ISCAS (4)
Dynamic frame rate control for video streams.,1999,https://doi.org/10.1145/319463.319481,ACM Multimedia (1)
Optical flow-based motion compensation algorithm for very low-bit-rate video coding.,1998,https://doi.org/10.1002/(SICI)1098-1098(1998)9:4<230::AID-IMA5%3E3.0.CO;2-B,Int. J. Imaging Syst. Technol.
Jitter smoothing and traffic modeling for MPEG-2 video transport over ATM networks.,1998,https://doi.org/10.1002/(SICI)1098-1098(1998)9:5<332::AID-IMA3%3E3.0.CO;2-B,Int. J. Imaging Syst. Technol.
Guest Editorial: Special Section on Image/Video Compression and Processing for Visual Communications.,1998,https://doi.org/10.1117/1.482602,J. Electronic Imaging
End-to-end modeling and simulation of MPEG-2 transport streams over ATM networks with jitter.,1998,https://doi.org/10.1109/76.660823,IEEE Trans. Circuits Syst. Video Technol.
Multiresolution Watermarking for Images and Video: A Unified Approach.,1998,https://doi.org/10.1109/ICIP.1998.723530,ICIP (1)
A zerotree wavelet video coder.,1997,https://doi.org/10.1109/76.554422,IEEE Trans. Circuits Syst. Video Technol.
A video coding algorithm using vector-based techniques.,1997,https://doi.org/10.1109/76.554426,IEEE Trans. Circuits Syst. Video Technol.
A new rate control scheme using quadratic rate distortion model.,1997,https://doi.org/10.1109/76.554439,IEEE Trans. Circuits Syst. Video Technol.
A deblocking algorithm for JPEG compressed images using overcomplete wavelet representations.,1997,https://doi.org/10.1109/76.564123,IEEE Trans. Circuits Syst. Video Technol.
Guest Editors' Introduction.,1997,https://doi.org/10.1023/A:1007993119729,J. VLSI Signal Process.
An optical flow based motion compensation algorithm for very low bit-rate video coding.,1997,https://doi.org/10.1109/ICASSP.1997.595388,ICASSP
